Date,What,Location
"Oct 9, 2009",NCEAS Ecolunch,"Santa Barbara, CA."
"Aug 4, 2008",Ecological Society of America Annual Meeting,"Milwaukee, WI. Contributed."
"May 5, 2008",NCEAS Ecolunch,"Santa Barbara, CA."
"April 16, 2008",Department of Ecology & Evolution,"University of Chicago, Chicago, IL. Invited"
"March 15, 2008",Early Career Scientists Symposium,"University of Michigan, Ann Arbor, MI. Invited"
"Aug 8, 2007",Ecological Society of America Annual Meeting,"San Jose, CA. Invited"
"Aug 3, 2007",Society for Mathematical Biology Annual Meeting,"San Jose, CA. Invited"
"Feb 20, 2007",Dipartimento di Scienze Ambientali ,"Università di Parma, Parma, Italy. Invited"
"Feb 15, 2007",Niels Bohr Institute - Center for Models of Life,"Copenhagen, Denmark. Invited"
"Aug 9, 2006",Ecological Society of America Annual Meeting,"Memphis, TN. Contributed."
"Jun 7, 2006",University of Copenhagen,"Copenhagen, Denmark. Invited"
"Jun 5, 2006",Dipartimento di Scienze Ambientali ,"Università di Parma, Parma, Italy. Invited"
"May 26, 2006","Collegium Budapest, Institute for Advanced Study","Budapest, Hungary. Invited"
"Nov 28, 2005",Chesapeake Biological Laboratory,"University of Maryland, Solomons, MD. Invited"
"Aug 9, 2005",Ecological Society of America Annual Meeting,"Montreal, Canada. Contributed"
"Sept 29, 2004",Fourth European Conference on Ecological Modelling,"Bled, Slovenia. Contributed"
"Apr 24, 2004",Peter Yodzis Colloquium,"University of Guelph, Guelph, Canada. Contributed"
