"Title","Department","Years","Institution"
"Chair","Ecology & Evolution","2021--","University of Chicago"
"External faculty","Northwestern Institute on Complex Systems","2016--","Northwestern University"
"Professor","Ecology & Evolution","2014--","University of Chicago"
"Senior Fellow","Computation Institute","2014--2018","University of Chicago"
"Assistant Professor","Ecology & Evolution and Computation Institute","2009--2014","University of Chicago"
"Postdoctoral Associate","NCEAS","2007--2009","U. California, Santa Barbara"
"Postdoctoral Fellow","Mercedes Pascual Lab","2005--2007","University of Michigan"
"Postdoctoral Fellow","Scott Peacor Lab","2004--2005","Michigan State U. and NOAA GLERL"
