Degree,Area,Years,Institution,Advisor
Ph.D.,Ecology,2002-2005,"Università degli Studi di Parma, Italy",Advisor: Antonio Bodini
Laurea,Environmental Sciences,1995-2001,"Università degli Studi di Parma, Italy",Advisors: Alessandro Zaccagnini and Antonio Bodini
